Rank,Country
–,World
China,"1,411,750,000"
India,"1,392,329,000"
United States,"334,929,000"
Indonesia,"277,749,853"
Pakistan,"220,425,254"
Nigeria,"218,541,000"
Brazil,"216,310,136"
Bangladesh,"169,828,911"
Russia,"146,424,729"
Mexico,"128,665,641"
Japan,"124,500,000"
Philippines,"110,587,187"
Ethiopia,"105,163,988"
Egypt,"104,971,747"
Vietnam,"99,460,000"
DR Congo,"99,010,000"
Iran,"86,544,883"
Turkey,"85,279,553"
Germany,"84,270,625"
France,"68,042,591"
United Kingdom,"67,026,292"
Thailand,"65,989,604"
Tanzania,"61,741,120"
South Africa,"60,604,992"
Italy,"58,803,163"
Myanmar,"55,770,232"
Colombia,"52,215,503"
South Korea,"51,439,038"
Spain,"48,196,693"
Kenya,"47,564,296"
Argentina,"46,044,703"
Algeria,"45,400,000"
Sudan,"45,497,170"
Uganda,"42,885,900"
Iraq,"41,190,700"
Ukraine,"41,130,432"
Canada,"40,024,265"
Poland,"37,726,000"
Morocco,"36,992,648"
Uzbekistan,"36,293,759"
Saudi Arabia,"34,110,821"
Yemen,"33,697,000"
Peru,"33,396,698"
Angola,"33,086,278"
Malaysia,"33,044,700"
Afghanistan,"32,890,171"
Mozambique,"32,419,747"
Ghana,"30,832,019"
Ivory Coast,"29,389,150"
Nepal,"29,164,578"
Venezuela,"28,302,000"
Madagascar,"26,923,353"
Australia,"26,543,555"
North Korea,"25,660,000"
Cameroon,"24,348,251"
Niger,"24,112,753"
Taiwan,"23,347,374"
Mali,"22,594,000"
Burkina Faso,"22,185,654"
Sri Lanka,"22,181,000"
Syria,"22,125,000"
Malawi,"21,507,723"
Chile,"19,960,889"
Kazakhstan,"19,884,716"
Zambia,"19,610,769"
Romania,"19,053,815"
Ecuador,"18,318,891"
Netherlands,"17,881,890"
Somalia,"17,598,000"
Senegal,"17,223,497"
Guatemala,"17,109,746"
Chad,"16,818,391"
Cambodia,"15,552,211"
Zimbabwe,"15,178,979"
Guinea,"13,261,638"
South Sudan,"13,249,924"
Rwanda,"13,246,394"
Burundi,"12,837,740"
Benin,"12,606,998"
Bolivia,"12,006,031"
Tunisia,"11,803,588"
Belgium,"11,755,313"
Haiti,"11,743,017"
Jordan,"11,420,802"
Cuba,"11,089,511"
Czech Republic,"10,827,529"
Sweden,"10,538,026"
Dominican Republic,"10,535,535"
Greece,"10,482,487"
Portugal,"10,467,366"
Azerbaijan,"10,135,373"
Israel,"9,740,000"
Hungary,"9,678,000"
Honduras,"9,546,178"
Tajikistan,"9,506,000"
United Arab Emirates,"9,282,410"
Belarus,"9,200,617"
Papua New Guinea,"9,122,994"
Austria,"9,120,091"
Switzerland,"8,865,270"
Sierra Leone,"8,494,260"
Togo,"8,095,498"
Paraguay,"7,453,695"
Laos,"7,337,783"
Hong Kong (China),"7,333,200"
Kyrgyzstan,"7,100,000"
El Salvador,"6,884,888"
Libya,"6,812,000"
Serbia,"6,647,003"
Nicaragua,"6,595,674"
Bulgaria,"6,447,710"
Turkmenistan,"6,431,000"
Congo,"5,970,000"
Denmark,"5,941,388"
Central African Republic,"5,633,412"
Finland,"5,541,016"
Norway,"5,504,329"
Lebanon,"5,490,000"
Palestine,"5,483,450"
Singapore,"5,453,600"
Slovakia,"5,428,792"
New Zealand,"5,219,387"
Costa Rica,"5,213,362"
Ireland,"5,149,139"
Oman,"5,035,658"
Kuwait,"4,670,713"
Liberia,"4,661,010"
Mauritania,"4,372,037"
Panama,"4,278,500"
Croatia,"3,871,833"
Georgia,"3,736,400"
Eritrea,"3,684,000"
Uruguay,"3,554,915"
Mongolia,"3,457,548"
Bosnia and Herzegovina,"3,277,082"
Puerto Rico (United States),"3,221,789"
Qatar,"3,005,069"
Armenia,"2,981,200"
Lithuania,"2,862,274"
Jamaica,"2,825,544"
Albania,"2,793,592"
Moldova,"2,604,000"
Namibia,"2,596,037"
Gambia,"2,417,471"
Botswana,"2,410,338"
Lesotho,"2,306,000"
Gabon,"2,233,272"
Slovenia,"2,116,972"
Latvia,"1,885,400"
North Macedonia,"1,832,696"
Kosovo,"1,798,188"
Guinea-Bissau,"1,667,864"
Equatorial Guinea,"1,558,160"
Bahrain,"1,501,635"
Estonia,"1,365,884"
Trinidad and Tobago,"1,365,805"
East Timor,"1,336,222"
Mauritius,"1,261,196"
Eswatini,"1,202,000"
Djibouti,"1,001,454"
Cyprus,"918,100"
Fiji,"893,468"
Bhutan,"763,200"
Comoros,"758,316"
Guyana,"743,699"
Solomon Islands,"728,041"
Macau (China),"673,600"
Luxembourg,"660,809"
Montenegro,"617,683"
Suriname,"616,500"
Western Sahara,"576,000"
Cape Verde,"569,509"
Malta,"519,562"
Belize,"441,471"
Brunei,"440,715"
Maldives,"397,372"
Bahamas,"397,360"
Iceland,"390,830"
Northern Cyprus,"382,836"
Transnistria,"360,938"
Vanuatu,"301,295"
French Polynesia (France),"279,890"
New Caledonia (France),"273,674"
Barbados,"267,800"
Abkhazia,"245,424"
São Tomé and Príncipe,"214,610"
Samoa,"205,557"
Saint Lucia,"178,696"
Guam (United States),"153,836"
Curaçao (Netherlands),"148,925"
Artsakh,"148,900"
Grenada,"125,000"
Kiribati,"120,740"
Saint Vincent and the Grenadines,"110,696"
Jersey (British Crown Dependency),"107,800"
Aruba (Netherlands),"106,739"
Micronesia,"105,754"
Antigua and Barbuda,"100,772"
Seychelles,"100,447"
Tonga,"100,179"
U.S. Virgin Islands (United States),"87,146"
Isle of Man (British Crown Dependency),"84,069"
Andorra,"82,623"
Dominica,"73,000"
Cayman Islands (United Kingdom),"71,105"
Bermuda (United Kingdom),"64,055"
Guernsey (British Crown Dependency),"63,950"
Greenland (Denmark),"56,609"
South Ossetia,"56,520"
Faroe Islands (Denmark),"54,431"
American Samoa (United States),"49,710"
Saint Kitts and Nevis,"48,000"
Northern Mariana Islands (United States),"47,329"
Turks and Caicos Islands (United Kingdom),"46,131"
Sint Maarten (Netherlands),"42,938"
Liechtenstein,"39,680"
Marshall Islands,"39,262"
Monaco,"39,150"
San Marino,"33,847"
Gibraltar (United Kingdom),"33,000"
Saint Martin (France),"32,358"
British Virgin Islands (United Kingdom),"31,000"
Åland (Finland),"30,423"
Palau,"16,733"
Anguilla (United Kingdom),"15,701"
Cook Islands,"15,040"
Nauru,"11,832"
Wallis and Futuna (France),"11,369"
Tuvalu,"10,679"
Saint Barthélemy (France),"10,585"
Saint Pierre and Miquelon (France),"6,092"
"Saint Helena, Ascension and Tristan da Cunha (United Kingdom)","5,651"
Montserrat (United Kingdom),"4,400"
Falkland Islands (United Kingdom),"3,800"
Norfolk Island (Australia),"2,188"
Christmas Island (Australia),"1,692"
Tokelau (New Zealand),"1,647"
Niue,"1,549"
Vatican City,825
Cocos (Keeling) Islands (Australia),593
Pitcairn Islands (United Kingdom),47
